receive_time_s,tau_est_s,tau_true_s,carrier_phase_rad,carrier_frequency_hz,fd_true_hz,post_corr_snr_db,carrier_lock_metric
17.989499000000002,0.0004054756328615347,0.0004179585163849662,3619690.106777705,19279.89435078613,15617.954338873751,-2.104057356914803,-0.0148921231892739
17.990499,0.00040541461405194584,0.0004179625160025957,3619811.0119521683,19172.607609245162,15616.154338873755,4.879207641515915,0.5100139052291786
17.991498999999997,0.00040541461405194584,0.00041796651562022515,3619928.757334728,18841.22093677833,15614.354338873463,3.7551302252469876,-0.25516788996470646
17.992499000000002,0.00040541461405194584,0.0004179705152378546,3620047.8184012817,19050.618548036626,15612.55433887375,6.628672141033504,-0.9965619223709996
17.993499,0.00040541461405194584,0.0004179745148554841,3620168.619872798,19161.597066220682,15610.754338873754,-0.3511165384406175,0.5781246145816799
17.994498999999998,0.0004055271956716315,0.00041797851447311347,3620288.9927530256,19130.184841044298,15608.95433887361,5.761278459876804,0.9169951819648037
17.995499000000002,0.0004055271956716315,0.000417982514090743,3620409.0365642,19105.565936018218,15607.154338873752,-3.1033507932054043,0.34562675516725766
17.996499,0.0004055271956716315,0.0004179865137083724,3620527.1534282397,18900.344050649583,15605.354338873756,-2.5867589720735995,-0.016067965999417146
17.997498999999998,0.0004055271956716315,0.0004179905133260019,3620647.1689650803,19101.065936018218,15603.554338873611,-3.089930170730088,0.7931197124670782
17.998499000000002,0.0004055271956716315,0.00041799451294363135,3620765.3746757056,18914.484423921163,15601.75433887375,-0.7344624548606088,-0.9186622915593219
17.999499,0.0004055271956716315,0.00041799851256126084,3620884.157793584,19006.38164243993,15599.954338873755,3.3689807827866476,-0.9636284315058951
18.000498999999998,0.0004055271956716315,0.0004180025121788903,3621003.0427956763,19022.597018711196,15598.15433887361,-0.6796517129859957,-0.8698781652070894
18.001499000000003,0.0004055271956716315,0.0004180065117965198,3621121.9433108545,18923.604726753358,15596.3543388736,-6.337550981902076,0.07715996137654667
18.002499,0.0004055271956716315,0.0004180105114141492,3621241.56755113,19140.25042965664,15594.554338873604,2.8650216178712147,-0.9999371124372011
18.003498999999998,0.0004054179036468862,0.00041801451103177866,3621362.4639506857,19159.352949025022,15592.754338873461,4.964891088430995,0.3521725538988107
18.004499000000003,0.0004054179036468862,0.0004180185106494081,3621481.9370361627,19116.193396311362,15590.954338873455,6.52855907456411,-0.8973415572933606
18.005499,0.0004054179036468862,0.0004180225102670376,3621600.481660665,18968.424242705692,15589.154338873755,-0.42135807570406686,-0.4865925208971677
18.006498999999998,0.0004054179036468862,0.00041802650988466704,3621719.7377234227,19030.677168492053,15587.35433887376,-0.5199298229337651,0.7341565330795228
18.007499000000003,0.0004054179036468862,0.00041803050950229653,3621838.77847937,18945.92473836825,15585.554338873453,-3.1752438022283243,-0.9835758119866066
18.008499,0.0004054179036468862,0.0004180345091199259,3621959.9620561325,19185.50398707992,15583.754338873605,4.293627071478,-0.9532887983334987
18.009498999999998,0.0004054179036468862,0.0004180385087375554,3622081.3091971925,19211.536053537988,15581.954338873758,1.400969098717355,-0.09898745622235931
18.010499000000003,0.0004054179036468862,0.00041804250835518486,3622201.944865395,19098.301631393337,15580.154338873452,-2.862785518105722,-0.4868676888316847
18.011499,0.0004054179036468862,0.00041804650797281435,3622319.4053682717,18795.880927157254,15578.354338873456,1.6347462907142438,-0.5253739519954825
18.012499,0.0004054179036468862,0.0004180505075904438,3622438.8285109377,19047.00117559183,15576.554338873757,0.1850463850140704,0.8283854655262733
18.013499000000003,0.0004054179036468862,0.0004180545072080733,3622559.058891387,19033.798082152236,15574.75433887375,-2.0233975763736227,-0.7191805144625087
18.014499,0.0004054179036468862,0.00041805850682570273,3622680.4419454182,19217.251780430302,15572.954338873606,2.964896487567883,-0.9395515096075739
