Time_s,AOA_deg
404.229136,3.445330
404.233679,3.569959
404.238222,3.687396
404.242764,3.797195
404.247307,3.898905
404.251849,3.992080
404.256392,4.076270
404.260934,4.151027
404.265477,4.215903
404.270020,4.270449
404.274562,4.314217
404.279105,4.346760
404.283647,4.367627
404.288190,4.376372
404.292732,4.372984
404.297275,4.358375
404.301818,4.332959
404.306360,4.297127
404.310903,4.251272
404.315445,4.195784
404.319988,4.131055
404.324531,4.057478
404.329073,3.975443
404.333616,3.885343
404.338158,3.787568
404.342701,3.682511
404.347243,3.570564
404.351786,3.452117
404.356329,3.327562
404.360871,3.197292
404.365414,3.061698
404.369956,2.921171
404.374499,2.776103
404.379041,2.626886
404.383584,2.473911
404.388127,2.317570
404.392669,2.158254
404.397212,1.996356
404.401754,1.832267
404.406297,1.666379
404.410839,1.499082
404.415382,1.330770
404.419925,1.161832
404.424467,0.992662
404.429010,0.823651
404.433552,0.655190
404.438095,0.487671
404.442637,0.321486
404.447180,0.157026
404.451723,-0.005317
404.456265,-0.165152
404.460808,-0.322086
404.465350,-0.475728
404.469893,-0.625687
404.474435,-0.771571
404.478978,-0.912988
404.483521,-1.049546
404.488063,-1.180855
404.492606,-1.306522
404.497148,-1.426155
404.501691,-1.539364
404.506233,-1.645756
404.510776,-1.744939
404.515319,-1.836523
404.519861,-1.920115
404.524404,-1.995324
404.528946,-2.061758
404.533489,-2.119026
404.538031,-2.166736
404.542574,-2.204496
404.547117,-2.231914
404.551659,-2.248600
404.556202,-2.254160
404.560744,-2.245595
404.565287,-2.220755
404.569829,-2.180343
404.574372,-2.125061
404.578915,-2.055610
404.583457,-1.972693
404.588000,-1.877010
404.592542,-1.769265
404.597085,-1.650158
404.601628,-1.520392
404.606170,-1.380668
404.610713,-1.231688
404.615255,-1.074154
404.619798,-0.908769
404.624340,-0.736232
404.628883,-0.557248
404.633426,-0.372516
404.637968,-0.182740
404.642511,0.011379
404.647053,0.209139
404.651596,0.409839
404.656138,0.612776
404.660681,0.817249
404.665224,1.022556
404.669766,1.227995
404.674309,1.432865
404.678851,1.636463
404.683394,1.838087
404.687936,2.037036
404.692479,2.232608
404.697022,2.424102
404.701564,2.610814
404.706107,2.792044
404.710649,2.967090
404.715192,3.135250
404.719734,3.295821
404.724277,3.448103
404.728820,3.591394
404.733362,3.724990
404.737905,3.848192
404.742447,3.960296
404.746990,4.060602
404.751532,4.148407
404.756075,4.223009
404.760618,4.283707
404.765160,4.329799
404.769703,4.360582
404.774245,4.375356
404.778788,4.375015
404.783330,4.365563
404.787873,4.347882
404.792416,4.322235
404.796958,4.288886
404.801501,4.248101
404.806043,4.200143
404.810586,4.145276
404.815128,4.083765
404.819671,4.015874
404.824214,3.941868
404.828756,3.862009
404.833299,3.776563
404.837841,3.685794
404.842384,3.589967
404.846927,3.489344
404.851469,3.384192
404.856012,3.274773
404.860554,3.161352
404.865097,3.044193
404.869639,2.923561
404.874182,2.799720
404.878725,2.672934
404.883267,2.543467
404.887810,2.411584
404.892352,2.277549
404.896895,2.141625
404.901437,2.004078
404.905980,1.865171
404.910523,1.725169
404.915065,1.584336
404.919608,1.442936
404.924150,1.301234
404.928693,1.159493
404.933235,1.017978
404.937778,0.876954
404.942321,0.736683
404.946863,0.597432
404.951406,0.459463
404.955948,0.323041
404.960491,0.188431
404.965033,0.055896
404.969576,-0.074298
404.974119,-0.201889
404.978661,-0.326612
404.983204,-0.448201
404.987746,-0.566395
404.992289,-0.680927
404.996831,-0.791533
405.001374,-0.897951
405.005917,-0.999914
405.010459,-1.097160
405.015002,-1.189423
405.019544,-1.276440
405.024087,-1.357946
405.028629,-1.433677
405.033172,-1.503369
405.037715,-1.566757
405.042257,-1.623578
405.046800,-1.673567
405.051342,-1.716460
405.055885,-1.751992
405.060427,-1.779900
405.064970,-1.799919
405.069513,-1.811785
405.074055,-1.815207
405.078598,-1.806781
405.083140,-1.784682
405.087683,-1.749482
405.092226,-1.701753
405.096768,-1.642070
405.101311,-1.571006
405.105853,-1.489132
405.110396,-1.397024
405.114938,-1.295253
405.119481,-1.184393
405.124024,-1.065018
405.128566,-0.937699
405.133109,-0.803011
405.137651,-0.661527
405.142194,-0.513819
405.146736,-0.360461
405.151279,-0.202026
405.155822,-0.039088
405.160364,0.127782
405.164907,0.298008
405.169449,0.471020
405.173992,0.646242
405.178534,0.823103
405.183077,1.001029
405.187620,1.179446
405.192162,1.357782
405.196705,1.535463
405.201247,1.711917
405.205790,1.886570
405.210332,2.058850
405.214875,2.228182
405.219418,2.393993
405.223960,2.555712
405.228503,2.712764
405.233045,2.864576
405.237588,3.010575
405.242130,3.150188
405.246673,3.282842
405.251216,3.407964
405.255758,3.524981
405.260301,3.633319
405.264843,3.732405
405.269386,3.821666
405.273928,3.900529
405.278471,3.968421
405.283014,4.024769
405.287556,4.068999
405.292099,4.100538
405.296641,4.118814
405.301184,4.123361
405.305726,4.117857
405.310269,4.104525
405.314812,4.083616
405.319354,4.055378
405.323897,4.020063
405.328439,3.977919
405.332982,3.929196
405.337525,3.874145
405.342067,3.813015
405.346610,3.746056
405.351152,3.673518
405.355695,3.595650
405.360237,3.512703
405.364780,3.424926
405.369323,3.332569
405.373865,3.235882
405.378408,3.135115
