curve_id,Time_s,Height_km,z_m,ne_m3,original_label
t393_4_h76km,3.934000e+02,7.600000e+01,1.781108e-02,1.273424e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,1.794827e-02,1.280077e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,1.808546e-02,1.286764e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,1.822266e-02,1.293486e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,1.835985e-02,1.300243e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,1.849704e-02,1.307035e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,1.863424e-02,1.313858e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,1.877143e-02,1.320660e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,1.890862e-02,1.327224e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,1.904582e-02,1.333285e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,1.918301e-02,1.338913e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,1.932020e-02,1.344380e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,1.945740e-02,1.349835e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,1.959459e-02,1.355311e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,1.973178e-02,1.360808e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,1.986898e-02,1.366327e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,2.000617e-02,1.371869e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,2.014337e-02,1.377434e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,2.028056e-02,1.383021e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,2.041775e-02,1.388631e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,2.055495e-02,1.394263e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,2.069214e-02,1.399919e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,2.082933e-02,1.405597e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,2.096653e-02,1.411298e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,2.110372e-02,1.417022e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,2.124091e-02,1.422770e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,2.137811e-02,1.428541e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,2.151530e-02,1.434334e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,2.165249e-02,1.440133e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,2.178969e-02,1.445853e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,2.192688e-02,1.451333e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,2.206408e-02,1.456519e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,2.220127e-02,1.461557e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,2.233846e-02,1.466579e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,2.247566e-02,1.471614e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,2.261285e-02,1.476667e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,2.275004e-02,1.481738e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,2.288724e-02,1.486825e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,2.302443e-02,1.491930e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,2.316162e-02,1.497053e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,2.329882e-02,1.502193e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,2.343601e-02,1.507351e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,2.357320e-02,1.512527e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,2.371040e-02,1.517721e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,2.384759e-02,1.522932e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,2.398478e-02,1.528161e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,2.412198e-02,1.533408e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,2.425917e-02,1.538673e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,2.439637e-02,1.543956e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,2.453356e-02,1.549254e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,2.467075e-02,1.554527e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,2.480795e-02,1.559627e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,2.494514e-02,1.564423e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,2.508233e-02,1.569037e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,2.521953e-02,1.573618e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,2.535672e-02,1.578208e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,2.549391e-02,1.582811e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,2.563111e-02,1.587428e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,2.576830e-02,1.592058e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,2.590549e-02,1.596702e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,2.604269e-02,1.601359e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,2.617988e-02,1.606030e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,2.631708e-02,1.610715e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,2.645427e-02,1.615413e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,2.659146e-02,1.620125e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,2.672866e-02,1.624851e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,2.686585e-02,1.629590e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,2.700304e-02,1.634343e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,2.714024e-02,1.639110e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,2.727743e-02,1.643891e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,2.741462e-02,1.648687e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,2.755182e-02,1.653502e+16,Time (Hight)=393.4 s (76 km)
