t_s,gyro_x_radps,gyro_y_radps,gyro_z_radps,accel_x_mps2,accel_y_mps2,accel_z_mps2,ins_pos_ecef_x_m,ins_pos_ecef_y_m,ins_pos_ecef_z_m,ins_vel_ecef_x_mps,ins_vel_ecef_y_mps,ins_vel_ecef_z_mps,ins_quat_w,ins_quat_x,ins_quat_y,ins_quat_z
9.975,-1.698781523379775e-05,-0.0005816488839929508,0.003778331184672239,19.76866735115388,-37.53274671239878,-4.911350367144198,-1656852.5315316396,5048068.047815789,3660472.0052333334,-59.7414724163818,-4913.713423944281,6910.30263066588,0.9956387063389451,-4.0658495678273386e-05,0.00030235314914510815,0.09329240788602065
9.98,-3.7773282346284124e-06,-0.0005738747571569416,0.00378918328976515,19.784943288125046,-37.558853289242485,-4.9119131639936064,-1656852.8306087456,5048043.479318959,3660506.5563679496,-59.88937002210892,-4913.685307930519,6910.151215659469,0.9956378255073711,-4.056226545420789e-05,0.00030090179074300277,0.09330181258565513
9.985,1.085118558951286e-05,-0.0005780203460926372,0.00380895508542178,19.78971510204899,-37.571479799584864,-4.910701419400468,-1656853.1304256413,5048018.910962768,3660541.1067452575,-60.037388252920884,-4913.6571682899785,6909.999707500337,0.9956369420488176,-4.0434958261822465e-05,0.000299472865356609,0.09331124427793598
9.99,1.468290379401355e-06,-0.0005784898417088491,0.0037967784696420555,19.806703672672466,-37.592103101277665,-4.92320405344332,-1656853.4309827473,5047994.342747332,3660575.656364919,-60.185454139916814,-4913.62900622747,6909.848157214927,0.995636053890642,-4.027025746584284e-05,0.0002980370356995998,0.09332072516489845
9.995000000000001,8.740986590198974e-06,-0.0005722435605447941,0.0037841420819185842,19.80946077375062,-37.609276335063946,-4.921221064856546,-1656853.7322804304,5047969.774672612,3660610.2052265704,-60.33361905827838,-4913.600881829516,6909.6965032772605,0.9956351684806249,-4.012881107657113e-05,0.00029659784712577047,0.09333017574157512
10.0,1.1912009287762962e-05,-0.000602870852179786,0.0038249732139244647,19.831549580718733,-37.62398257129124,-4.91621691564383,-1656854.0343190564,5047945.206738614,3660644.753329802,-60.48183142129329,-4913.572717347074,6909.544789309999,0.9956342859236306,-3.99707290894269e-05,0.00029517590170502196,0.09333959485057844
10.005,7.28064150407528e-06,-0.0005792565388319293,0.003782974748990472,19.838843839405143,-37.646271554787305,-4.924723406428886,-1656854.3370990802,5047920.638945457,3660679.3006743966,-60.63017802932248,-4913.544545561261,6909.393048660628,0.9956333937694263,-3.979757717288524e-05,0.00029367846633790136,0.09334911558384365
10.01,1.5479244846063728e-05,-0.0005751374219650189,0.003812385585498988,19.85288049664551,-37.66903750962686,-4.924919530302768,-1656854.640620995,5047896.071293162,3660713.8472600216,-60.77858797696138,-4913.516372295131,6909.241201322144,0.9956325113065004,-3.964149488699508e-05,0.00029223872392711764,0.09335853177182768
10.015,1.0804304432475306e-05,-0.0005511259700564755,0.003794998401388245,19.86835130308128,-37.6865335618476,-4.931012489814286,-1656854.944885223,5047871.503781788,3660748.3930862094,-60.92710314344147,-4913.488177253432,6909.08927375048,0.9956316218851748,-3.9465945506659975e-05,0.00029081115074470906,0.09336802115076624
10.02,1.4569122873324433e-05,-0.0005792985377039837,0.003811899588642766,19.881899767452516,-37.69452601295906,-4.928571808374229,-1656855.2498922641,5047846.936411347,3660782.938152574,-61.075713315907535,-4913.459998849826,6908.937272036019,0.9956307364124422,-3.9307649814285376e-05,0.0002894422509971015,0.09337746724403058
10.025,-4.824421297605556e-07,-0.0005771928921759056,0.0037959207589481968,19.89341973143344,-37.72777713766453,-4.930543147485709,-1656855.555642558,5047822.369181796,3660817.482458897,-61.224404290667806,-4913.431821676733,6908.78525725981,0.9956298469229807,-3.9133394258554914e-05,0.0002880041080709552,0.09338695539706367
10.03,-3.24892361907534e-06,-0.0005719996163600211,0.003827296428506158,19.903886222144788,-37.74731776102979,-4.929745611193198,-1656855.8621365814,5047797.802093241,3660852.026004822,-61.3732050514082,-4913.403600300844,6908.633112667896,0.9956289610689439,-3.899710627208713e-05,0.000286567690614159,0.09339640377958781
10.035,-2.038155539698409e-05,-0.0006015485043119996,0.003794959204736765,19.912207035815946,-37.7538607215145,-4.934063807111348,-1656856.1693748208,5047773.235145857,3660886.568789856,-61.52209063303223,-4913.375353552772,6908.480901033239,0.9956280677925187,-3.886889435980551e-05,0.00028514355668060815,0.09340593025122734
10.040000000000001,1.0120843975946877e-05,-0.000583985389782121,0.003805189966290302,19.91904207374758,-37.76475383395665,-4.933844400230927,-1656856.477357603,5047748.668339654,3660921.1108137574,-61.671022283879765,-4913.347127516808,6908.328659354907,0.9956271819941847,-3.8776449715058984e-05,0.00028364186959921274,0.09341537623965158
10.045,7.437299440906765e-06,-0.0005609729273135067,0.003804391449029447,19.940950121536943,-37.78806113407186,-4.936836545268317,-1656856.7860851754,5047724.101674607,3660955.6520763594,-61.820006657423725,-4913.318891157581,6908.176381461885,0.9956262937050298,-3.8612176929598836e-05,0.0002821910227517248,0.09342484766116815
10.05,1.0657936922918118e-05,-0.0006060020695664932,0.003821895021161267,19.94189640227715,-37.80655465539882,-4.946145306705561,-1656857.0955580147,5047699.535150733,3660990.1925773616,-61.96912913978614,-4913.290658675413,6908.024019401379,0.9956254054937617,-3.845995906214e-05,0.00028079682855848786,0.09343431708615019
